        51:250  56:250  52:250  88:250  73:250  34:250  59:250  71:250  79:250  65:250  
56      7       6       3       5       4       1       2       2       9       12      
74      1       8       12      0       13      0       15      190     145     398     
62      3       4       5       0       10      0       3       148     64      129     
50      0       1       4       4       11      0       1       60      52      132     
55      1       2       2       2       7       0       0       149     118     342     
79      1       5       15      0       8       0       8       206     167     382     
60      1       6       7       4       0       0       20      122     93      186     
65      1       7       0       0       15      0       5       145     111     321     
41      1       0       0       0       1       0       0       0       0       0       
53      4       3       1       2       3       1       1       99      74      224     
58      3       2       0       0       1       0       1       33      30      83      
70      1       4       8       0       3       0       0       73      57      180     
80      1       8       6       3       3       0       15      3       8       20      
59      0       0       2       4       0       1       3       103     50      122     
54      1       0       6       6       5       0       22      17      26      68      
75      8       4       0       1       10      1       4       4       2       0       
71      1       3       6       1       4       0       10      79      75      111     
66      0       2       3       0       0       0       4       5       1       0       
48      2       0       0       2       2       0       2       48      50      100     
63      6       2       2       2       2       2       11      5       9       22      
43      1       1       7       0       2       0       2       70      63      129     
57      1       1       5       4       6       1       3       114     86      252     
67      0       4       10      0       9       0       48      96      120     128     
40      0       0       6       1       0       0       0       0       0       0       
72      7       8       8       0       7       3       6       277     221     623     
52      1       2       4       4       7       0       0       76      66      170     
69      1       5       7       1       4       0       7       118     94      230     
78      0       2       5       1       5       0       7       13      6       0       
81      0       6       13      3       5       0       20      161     114     332     
76      0       7       7       1       7       0       9       171     136     352     
83      0       5       5       1       2       0       12      30      17      46      
64      0       6       3       3       9       0       3       79      68      149     
45      0       0       1       0       5       0       0       2       3       2       
92      0       1       0       1       0       0       0       0       0       0       
68      2       6       3       1       2       0       1       2       2       4       
86      0       0       3       0       2       0       4       26      14      46      
85      0       1       1       1       7       0       0       4       0       5       
73      0       4       4       1       12      0       2       22      18      49      
77      1       7       5       0       8       0       10      170     127     357     
61      2       2       0       0       6       0       0       9       0       3       
47      0       1       2       2       3       1       1       21      20      48      
37      0       0       0       0       1       0       0       0       0       0       
44      3       2       0       0       0       0       0       0       0       0       
82      1       2       8       1       3       0       0       67      59      163     
38      1       0       0       0       2       0       0       2       0       2       
96      0       0       1       0       0       0       0       0       0       0       
87      0       0       0       1       2       0       0       1       0       0       
46      2       3       0       0       3       2       0       0       3       0       
90      0       0       0       1       0       0       1       0       4       0       
98      0       0       0       0       0       0       0       0       0       0       
89      0       0       0       0       0       0       0       8       6       23      
91      1       3       0       0       0       0       0       0       7       0       
51      4       4       0       0       0       0       1       0       0       1       
93      0       0       0       1       0       0       0       0       1       0       
84      3       6       2       0       4       0       6       69      59      169     
42      0       0       0       0       0       0       0       0       0       0       
30      0       0       0       0       0       0       0       0       0       0       
34      0       0       0       0       0       0       1       0       0       0       
95      0       0       0       1       0       0       0       0       0       0       
39      4       2       0       0       0       0       2       1       0       0       
49      0       2       2       3       3       0       0       0       4       9       
35      0       1       0       0       0       1       2       1       0       0       
88      0       0       0       1       2       0       2       2       0       4       
94      0       0       0       0       0       0       0       0       0       0       
101     0       0       0       0       0       0       0       0       0       0       
31      0       0       0       0       0       0       0       0       0       0       
26      0       0       0       0       0       0       0       0       0       0       
32      0       1       0       0       0       0       0       0       0       0       
29      0       0       0       0       0       0       0       0       0       1       
36      0       0       0       0       0       0       0       0       4       1       
27      0       0       0       0       0       0       0       0       0       0       
97      0       0       0       1       0       0       0       0       0       0       
28      0       0       0       0       0       0       0       0       0       0       
99      0       0       0       1       0       0       0       0       0       0       

