        36:250  60:250  55:250  57:250  52:250  53:250  62:250  64:250  60:500  64:500  
60      28      122     36      43      12      37      50      8       3       3       
55      554     28      76      11      46      488     17      8       2       2       
64      0       65      16      1       3       1       13      3       0       0       
36      977     112     460     0       0       756     0       56      0       0       
59      0       6       86      12      46      8       25      0       0       0       
62      0       6       89      11      5       0       129     0       0       0       
43      692     0       108     0       0       584     92      0       0       0       
57      0       20      8       127     22      40      35      0       3       0       
52      40      4       4       21      40      87      0       1       1       0       
45      0       28      0       110     0       0       4       0       0       0       
40      40      0       40      0       40      80      0       0       0       0       
53      484     15      8       12      0       884     29      1       2       0       
41      424     28      80      28      0       716     18      0       0       0       
50      40      4       7       4       0       84      33      0       1       0       
38      412     28      280     24      0       164     107     0       0       0       
54      566     0       3       3       3       96      24      0       0       0       
61      0       0       3       29      0       0       2       0       0       0       
35      0       0       0       0       0       0       31      0       0       0       
42      448     0       0       12      0       0       62      0       0       0       
72      0       30      4       2       0       0       5       2       2       0       
69      0       2       1       23      0       0       5       1       1       0       
71      0       0       2       0       1       2       0       0       0       0       
67      0       0       13      0       0       0       29      0       0       0       
76      0       3       0       0       0       0       0       15      0       0       
65      0       2       0       1       0       3       0       1       3       0       
77      0       1       0       0       0       0       0       0       0       0       
74      0       0       0       2       0       0       23      0       0       0       
78      0       0       0       0       0       0       0       0       0       0       
66      0       0       0       0       0       0       6       0       0       0       
73      0       0       0       1       0       0       0       0       0       0       
79      0       0       0       0       0       0       0       0       0       0       
83      0       0       0       0       0       0       0       0       0       0       
88      0       0       0       0       0       0       0       0       0       0       
91      0       0       0       0       0       0       0       0       0       0       
81      0       0       0       0       0       0       0       0       0       0       
93      0       0       0       0       0       0       0       0       0       0       
86      0       0       0       0       0       0       5       0       0       0       
95      0       0       0       0       0       0       0       0       0       0       
90      0       0       0       0       0       0       0       0       0       0       
63      0       0       0       0       0       0       14      1       0       0       
84      0       0       0       0       0       0       0       0       0       0       
82      0       0       0       0       0       0       0       0       0       0       
70      0       0       0       0       0       0       2       0       0       0       
68      0       0       0       0       0       0       0       0       0       0       
56      108     0       0       0       0       96      0       0       0       0       
49      78      0       60      0       0       36      0       0       0       0       
46      307     0       60      0       0       468     43      0       0       0       
39      40      0       0       0       0       80      1       0       0       0       
58      128     0       0       0       0       256     9       0       0       0       
48      462     0       300     0       0       484     4       0       0       0       
47      72      0       60      0       0       84      0       0       0       0       
44      152     0       40      0       0       104     0       0       0       0       
37      78      0       60      0       0       36      0       0       0       0       
51      40      0       0       0       0       80      0       0       0       0       
80      0       0       0       0       0       0       0       0       0       0       
75      0       0       0       0       0       0       0       0       0       0       
89      0       0       0       0       0       0       0       0       0       0       
87      0       0       0       0       0       0       0       0       0       0       
85      0       0       0       0       0       0       0       0       0       0       
30      0       0       0       0       0       0       0       0       0       0       

