        63:250  67:250  69:250  54:250  56:250  66:250  61:250  68:250  51:250  69:500  
56      2       2       16      23      22      1       1       1       7       8       
42      12      19      22      88      1       27      0       2       3       2       
36      4       3       9       82      12      3       1       2       32      2       
37      3       1       7       17      0       10      2       1       1       0       
64      3       44      10      3       4       10      2       0       0       0       
69      4       1       43      38      12      6       0       0       9       1       
65      17      1       8       22      3       2       55      0       1       1       
60      132     2       7       1       12      1       14      0       0       0       
63      176     6       1       6       1       2       0       0       2       0       
54      7       0       22      117     10      9       0       1       22      25      
66      3       0       18      7       1       35      3       2       0       0       
46      2       0       4       22      0       0       0       0       0       8       
68      1       2       1       2       1       1       0       44      0       0       
67      7       51      4       3       3       1       1       3       0       0       
38      6       0       5       4       2       8       1       0       0       0       
79      2       17      5       0       0       5       0       0       0       0       
58      3       1       1       14      1       0       0       1       0       0       
39      2       0       0       1       0       2       2       0       0       0       
48      1       0       10      14      4       1       0       1       1       0       
45      1       0       11      13      4       3       0       1       1       1       
41      0       0       0       5       1       0       0       0       13      0       
44      0       1       0       2       1       0       0       0       0       0       
61      15      0       1       0       0       3       44      0       0       0       
50      0       0       0       1       0       2       1       0       0       0       
49      0       0       0       6       2       0       0       0       2       0       
51      2       1       15      34      9       0       0       1       26      11      
40      0       5       6       13      0       29      0       3       10      0       
47      0       5       0       0       0       2       0       0       0       0       
43      0       0       0       0       0       0       0       0       0       0       
70      0       0       0       4       0       0       2       0       0       0       
71      1       18      3       0       0       3       0       0       0       1       
35      0       19      7       7       0       20      0       2       0       0       
73      0       0       1       0       0       0       0       0       0       0       
74      0       3       11      9       0       28      0       1       0       0       
72      0       0       0       0       0       0       0       1       0       0       
59      0       26      3       0       0       20      0       0       0       0       
62      0       1       33      6       0       60      1       0       0       0       
57      0       0       27      0       0       29      1       0       0       0       
55      0       0       0       0       0       0       0       0       4       0       
91      0       0       0       0       0       0       0       0       0       0       
96      0       0       0       0       0       0       0       0       0       0       
76      0       18      1       1       0       7       0       0       0       0       
77      0       0       0       0       0       0       0       0       0       0       
29      0       1       0       2       0       0       0       0       0       0       
53      0       0       0       7       0       1       0       0       0       0       
34      0       0       0       1       0       0       0       0       0       0       
75      1       0       0       0       0       0       0       0       0       0       
81      0       1       5       0       0       10      0       2       0       0       
83      0       11      1       4       0       13      0       0       0       0       
52      0       1       1       0       0       1       0       0       0       0       
30      0       0       0       1       0       0       0       0       0       0       
33      0       0       0       0       0       9       0       0       0       0       
78      0       5       11      1       0       25      0       0       0       0       
82      0       0       0       0       0       0       0       0       0       0       

