        96:250  94:250  92:250  91:250  80:250  82:250  84:250  79:250  75:250  77:250  
84      1       1       1       1       3       1       0       0       0       0       
94      1       1       1       1       0       0       0       0       0       0       
82      0       3       3       3       4       3       6       3       0       0       
75      0       0       0       0       1       0       0       0       2       3       
68      0       0       0       0       0       0       0       0       1       0       
77      0       0       0       0       0       1       0       0       0       4       
73      0       0       0       0       0       0       0       0       1       1       
79      0       0       2       0       1       0       0       0       1       0       
87      0       0       0       0       0       0       0       0       2       0       
80      0       0       0       0       4       3       0       1       0       0       
85      0       0       0       0       0       0       1       0       0       1       
67      0       0       0       0       0       0       0       0       0       0       
89      0       0       0       1       0       0       0       0       0       0       
91      0       0       0       0       0       0       1       0       0       0       
92      0       0       0       2       0       0       0       0       0       0       
65      0       0       0       0       0       0       0       0       0       0       
69      0       0       0       0       0       0       0       0       0       0       
44      0       0       0       0       0       0       0       0       0       0       
60      0       0       0       0       0       0       0       0       0       0       
47      0       0       0       0       0       0       0       0       0       0       

